,1/20/15 23:26:07,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,,TRG BY #469107177,,,,,,,TRG-.004,STP,STD,
,,OCO #469107178,,,,,,,.81798,STP,,
,1/20/15 23:26:07,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469107177,,,,,,,.82598,LMT,,
,,OCO #469107178,,,,,,,,,,
,1/20/15 23:26:07,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,1/20/15 23:20:04,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,119.181,LMT,GTC,CANCELED
,,RE #469107133,,,,,,,,,,
,,TRG BY #469107131,,,,,,,,,,
,,OCO #469107132,,,,,,,,,,
,1/20/15 23:19:17,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,,TRG BY #469107131,,,,,,,TRG-.40,STP,STD,
,,OCO #469107132,,,,,,,117.424,STP,,
,1/20/15 23:19:17,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #469107131,,,,,,,118.224,LMT,,
,,OCO #469107132,,,,,,,,,,
,1/20/15 23:19:17,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,1/20/15 22:58:29,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.821,LMT,GTC,FILLED
,1/20/15 20:54:08,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,119.255,LMT,GTC,CANCELED
,,RE #469044967,,,,,,,,,,
,,TRG BY #469044965,,,,,,,,,,
,,OCO #469044966,,,,,,,,,,
,1/20/15 20:53:34,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,,TRG BY #469044965,,,,,,,TRG-.40,STP,STD,
,,OCO #469044966,,,,,,,118.063,STP,,
,1/20/15 20:53:34,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #469044965,,,,,,,118.863,LMT,,
,,OCO #469044966,,,,,,,,,,
,1/20/15 20:53:34,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,1/20/15 19:39:23,FOREX,SELL,TO CLOSE,NZD/USD,,,FOREX,.76436,LMT,GTC,FILLED
,,RE #468961135,,,,,,,,,,
,,TRG BY #468961133,,,,,,,,,,
,,OCO #468961134,,,,,,,,,,
,1/20/15 19:38:24,FOREX,SELL,TO CLOSE,NZD/USD,,,FOREX,.76722,LMT,GTC,CANCELED
,,RE #468961135,,,,,,,,,,
,,TRG BY #468961133,,,,,,,,,,
,,OCO #468961134,,,,,,,,,,
,1/20/15 18:56:39,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.81368,LMT,GTC,CANCELED
,,RE #468997879,,,,,,,,,,
,,TRG BY #468997877,,,,,,,,,,
,,OCO #468997878,,,,,,,,,,
,1/20/15 18:56:39,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,RE #468997880,,,,,,,.82168,STP,STD,
,,TRG BY #468997877,,,,,,,,,,
,,OCO #468997878,,,,,,,,,,
,1/20/15 18:52:24,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468997877,,,,,,,TRG+.004,STP,STD,
,,OCO #468997878,,,,,,,.81993,STP,,
,1/20/15 18:52:24,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,TRG-.004,LMT,GTC,CANCELED
,,TRG BY #468997877,,,,,,,.81193,LMT,,
,,OCO #468997878,,,,,,,,,,
,1/20/15 18:52:24,FOREX,SELL,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,1/20/15 17:54:15,FOREX,BUY,TO OPEN,NZD/USD,,,FOREX,.76385,ROP,GTC,FILLED
,1/20/15 17:54:14,FOREX,SELL,TO CLOSE,NZD/USD,,,FOREX,.7639,RCL,GTC,FILLED
